filename,,,,Mr. Chekideh,,,extracted_lines
CWE-703_author_3.py,,,,"5,6,7",,,5
CWE-730_author_1.py,,,,"6,7,8,9,10",,,6
CWE-730_codeql_1.py,,,,"10,11",,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11"
CWE-730_codeql_2.py,,,,"10,11,12",,,10
CWE-732_author_1.py,,,,"6,7,8,9",,,9
CWE-759_mitre_1.py,,,,"6,7,8,9",,,7
CWE-760_sonar_1.py,,,,"6,7",,,6
CWE-776_codeql_1.py,,,,"11,12,13",,,
CWE-798_author_1.py,,,,7,,,7
CWE-798_codeql_1.py,,,,"9,10,11",,,9
CWE-827_sonar_1.py,,,,"6,7,8",,,7
CWE-835_author_1.py,,,,"5,6,7,8,9",,,
CWE-841_mitre_1.py,,,,"10,11,12,13,14,15,16,17,18,19",,,
CWE-918_codeql_1.py,,,,"11,12,13,14",,,12
CWE-918_codeql_2.py,,,,"11,12,13,14",,,11
CWE-941_mitre_1.py,,,,"8,9,10,11,12,13,14,15",,,9
CWE-943_sonar_1.py,,,,"10,11,12,13,14,15,16",,,"10,11,12,13,14"
django_XSS.py,,,,"4,5",,,5
ensure_saved_scope.py,,,,25,,,20
inter_command_injection.py,,,,"14,15,38",,,"15, 30"
inter_command_injection_2.py,,,,"19,21,22,39",,,"22, 31"
list_append.py,,,,"7,9,10,11",,,13
multi_chain.py,,,,"14,16",,,16
path_traversal.py,,,,"11,15,4",,,11
path_traversal_sanitised.py,,,,"12,15,4",,,"8, 10, 12"
path_traversal_sanitised_2.py,,,,"12,15,4",,,12
render_ids.py,,,,"10,12,17",,,12
simple_vulnerability.py,,,,"2,4",,,4
sqli.py,,,,"26,33,42,6",,,"27,36"
tainted_arg_normal_function.py,,,,"12,14,17",,,"12,13,14,15,16,17"
XSS.py,,,,"6,9,13,2",,,"4, 6, 9"
XSS_assign_to_other_var.py,,,,"6,11,15",,,"8, 11"
XSS_call.py,,,,"14,18,22,2",,,17
XSS_form.py,,,,"14,15,21,4,16",,,15
XSS_no_vuln.py,,,,14,,,8
XSS_reassign.py,,,,"6,11,15,2",,,"4, 6, 8, 10, 11"
XSS_sanitised.py,,,,"7,12,16,3",,,
XSS_url.py,,,,"6,9,13,2",,,"4, 6, 8, 9"
XSS_variable_assign.py,,,,"6,11,15,2",,,"8, 11"
XSS_variable_assign_no_vuln.py,,,,16,,,10
XSS_variable_multiple_assign.py,,,,"6,15,20,2",,,14
yield.py,,,,"8,9,10,15,16,17,21",,,16
